media_id,title,genres,release_date,avg_rating,duration,budget,revenue,nominations,age_classification,media_type,create_time,update_time
a0c456f4-64a8-4477-9b59-6682b0f9e079,Edge similar,"['Sci-Fi', 'Mystery']",1983-06-06,9.8,98,289239536.97,1495720826.07,[],R,Movie,2025-02-26,2025-02-26
962fecb1-3836-4ade-88dd-8428d9c0d758,Measure company,['Thriller'],2017-02-05,7.3,117,77026894.17,1132286784.38,[],R,Movie,2025-02-26,2025-02-26
f54d69a0-2080-4de8-8e8e-e7328536c1d9,Customer director,"['Action', 'Animation', 'Sci-Fi']",1997-01-12,3.6,143,155408627.11,464638318.91,['Emmy'],NC-17,Movie,2025-02-26,2025-02-26
9a558de6-44cb-421c-8c31-c51fb836038f,Certain,"['Drama', 'Action', 'Sci-Fi']",2002-08-22,8.1,103,284393467.55,808298617.87,[],R,Movie,2025-02-26,2025-02-26
ace187a0-f585-432b-9e8b-c00b78bf7f9c,Little political,"['Comedy', 'Sci-Fi', 'Thriller']",2018-07-28,2.4,101,186627186.66,376040854.94,"['Independent Spirit', 'Golden Globe', 'Emmy']",NC-17,Movie,2025-02-26,2025-02-26
f1d28d86-8d8c-42c3-8923-0b685f55266e,Nor,"['Action', 'Drama', 'Animation']",2006-12-11,8.0,112,60674016.52,1500524580.9,"['Golden Globe', 'SAG', ""Critics' Choice""]",R,Movie,2025-02-26,2025-02-26
ad065221-58ff-4885-aee4-ba12bcdc2ab6,Rate start important,['Drama'],1981-10-18,7.0,125,233099898.62,208456196.0,['Emmy'],G,Movie,2025-02-26,2025-02-26
a944d053-0ad6-465c-9262-544cf7abe7e0,Evening,"['Fantasy', 'Adventure', 'Drama']",1988-12-19,1.1,111,41997970.23,630251032.76,"['Oscar', 'Emmy']",PG,Movie,2025-02-26,2025-02-26
db02ae10-c852-47ac-9271-cb122a71bb80,Instead according heavy,['Thriller'],1988-11-04,9.8,123,256766808.12,113779721.36,"['Oscar', 'Golden Globe', 'Independent Spirit', 'Emmy']",PG-13,Movie,2025-02-26,2025-02-26
1dc053a4-b7a1-4bed-8ceb-accd3c3365f7,Federal camera lot,['Animation'],2020-11-21,4.9,166,268555786.54,1094002374.01,"['Emmy', 'Oscar', 'BAFTA']",PG,Movie,2025-02-26,2025-02-26
02003d45-4c12-4eec-b563-29b4b6aa8b30,Certain center body,"['Mystery', 'Fantasy', 'Drama']",2018-09-06,6.9,154,59725070.79,29821957.13,[],R,Movie,2025-02-26,2025-02-26
495e353c-fae5-4302-a92d-d9f36e7d61fa,Page program never,['Thriller'],1998-12-30,5.8,151,233091939.95,292497644.27,"['Emmy', 'SAG', 'BAFTA']",R,Movie,2025-02-26,2025-02-26
3b7d8bbd-2a65-46c9-9c8e-032dfe79c21f,Shake return,"['Adventure', 'Sci-Fi']",1994-01-16,6.4,105,240361235.38,210541187.42,"['Independent Spirit', 'Oscar', 'Emmy']",PG,Movie,2025-02-26,2025-02-26
23968cd5-df5b-4ffd-ad0b-fa9cf00a0856,Edge paper,['Horror'],1985-04-28,8.6,145,27084950.04,1833255532.76,"['BAFTA', 'SAG', ""Critics' Choice""]",NC-17,Movie,2025-02-26,2025-02-26
a119ce37-0095-43e5-b708-e27a27cfbed0,Entire strategy,['Action'],1983-04-30,1.7,109,68360485.79,443080869.41,['Independent Spirit'],PG-13,Movie,2025-02-26,2025-02-26
11394f7f-d864-4ed9-b49f-3f6f2b7c2e57,Choose rock Democrat,"['Drama', 'Action']",2021-02-20,2.8,109,109299043.94,644005352.37,"['SAG', 'BAFTA']",PG-13,Movie,2025-02-26,2025-02-26
